Critère;Buds ROLLBAG PRO – Observations;Buds – Note (/5);Scicon AEROCONFORT 3.0 – Observations;Scicon – Note (/5);EVOC BIKE BAG PRO – Observations;EVOC – Note (/5);EVOC ROAD BIKE BAG PRO – Observations;EVOC – Note (/5);EVOC MOUNTAIN BIKE BAG PRO – Observations;EVOC – Note (/5);Thule ROUNDTRIP – Observations;Thule – Note (/5);Sources (URLs)
Dimensions / encombrement;"Dépliée 130_86_30 cm, pliée 130_30_30 cm :       
stockage très facile
Dimension validées aussi pour Train en Europe";4,0;"Dépliée 115_95_28 cm
 format compact au sol, pliable.";4,0;"147_85_36 cm 
 gros gabarit, 305 L .";3,5;;;;;124_33_85 cm (format valise, structure stable).;4,0;https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013 | https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Compatibilité Route / VTT;" Route 
Gravel
 VTT jusqu’à 29 pouces

Avantages: 
un seul sac pour presque  tous les vélos
Inconvenient : 
guidon tourné à 90° pour vélo de route ou démonté pour vtt.";5,0;"Route/Gravel  seulement



Avantages: 
guidon droit conservé

Inconvenient : 
dédié uniquement velo de route et gravel";3,0;"Route 
Gravel
VTT jusqu’à 29 pouces

Avantages: 
un seul sac pour presque  tous les vélos
Inconvenient : 
guidon démonté et fixé par sangle pour vélo de route ou  vtt.
";5,0;;;;;Route/Gravel/CX (principalement route).;3,0;https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013 | https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Poids / risque de supplément bagage;"7,5 kg  Excellent pour rester sous les limites de poids

 Avantages: Un poids contenu pour etre en dessous des 23kg pour certaines compagnies aéeriennes.
Inconvenient : Attention au surpoids avec des gros vélos de decente par exemple.
";5,0;"9,5 kg : correct, mais Attention : la marge fond vite.

 Avantages: Un poids correct pour etre en dessous des 23kg pour certaines compagnies aéeriennes.
Inconvenient : Attention à la limite de poids avec un vélo de route + accessoires";4,0;"9,6 kg :  correct, mais Attention : la marge fond vite.

 Avantages: Un poids correct pour etre en dessous des 23kg pour certaines compagnies aéeriennes.
Inconvenient : Attention au surpoids déjà avec des vélos d'enduro ou rando mixte!
";4,0;;;;;12,5 kg : pénalisant en éco (marge réduite).;2,0;https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013 | https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Niveau de démontage requis;"Niveau :  Manipulations simples de montage
Durée de mise en place : 12 minutes
Avantages :Démontage et instalation  «facile » : roues + protections, adaptable route/VTT.
Inconvénients : Pas de bike stand pour fixer le vélo. Vélo soutenu par des accesoires de bonnes qualité qui isolent sufisamment du sol pour conserver le derailleur.il faut bien le caler";5,0;"Niveau :  Manipulations techniques de montage
Durée de mise en place : 24 minutes avec sangles
Avantages :Bike stand pour fixer le vélo
Inconvénients : Démontage et instalation  «technique » : mise en place des axes, reglage du bikestand, roues + protections adaptables vélo de route";4,0;"Niveau :  Manipulations techniques de montage
Durée de mise en place : 26 minutes avec sangles
Avantages :Bike stand pour fixer le vélo
Inconvénients : Démontage et instalation  «technique » : mise en place des axes, reglage du bikestand, roues + protections adaptable route et vtt";4,0;;;;;Système interne structuré (support), montage/démontage guidés.;4,0;https://cyclingweekly.com/group-tests/best-bike-bags-and-boxes-a-buyers-guide-323679 | https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Maintien interne / stabilité;"Bon maintien global (renforts + accessoires), stable si bien calé.
Avantages : Poches de roue en interne rembourrées pour bien caler le vélo avec velcros =  le bike peut bouger en cas de force latérales et absorbe un peu l'onde de choc pour éviter les cassures au niveau du cadre !
Inconvénients : a tendance a bouger il faut bien le caler";3,0;"  maintien très bon grace au Bikestand et aux sangles.

Avantages : Poches de roue en interne rembourrées et Bikestand pour bien caler le vélo dans la housse. 
Incovénients :   le bike ne peut pas  bouger et absorber l'onde de choc en cas de force latérales donc risque de cassures.
";4,5;Stand interne + sangles : excellent maintien.;5,0;;;;;Support + composants d’emballage : très rassurant.;5,0;https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178 | https://cyclingweekly.com/group-tests/best-bike-bags-and-boxes-a-buyers-guide-323679
Protection roues / disques;Bonne protection si calage sérieux (priorité aux rotors).;3,5;« Disk ready » + poches roues : bon niveau route/gravel.;4,0;Compartiments roues + « DISC PROTECTION » : top.;5,0;;;;;Poches rotors + éléments dédiés : top.;5,0;https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178 | https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013
Protection cadre & périphériques;Rembourrage + renforts amovibles (bon niveau sur un soft bag).;4,5;Bon niveau, mais reste une housse « route » (attention au cockpit).;4,0;Très bon niveau global (construction robuste).;4,5;;;;;Panneaux rigides + base moulée : protection supérieure.;5,0;https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178 | https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://evocsports.ca/products/bike-travel-bag-pro-1
Facilité de déplacement (aéroport);Bonne stabilité + poids avantageux : facile à tirer/rouler.;4,5;Très roulante et maniable : excellent pour les longs terminaux.;5,0;Roues type skate : très bon roulage, gabarit plus imposant.;4,5;;;;;Maniable mais lourd : OK, moins fun dans les escaliers.;4,0;https://cyclingweekly.com/group-tests/best-bike-bags-and-boxes-a-buyers-guide-323679 | https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Rangement à destination (pliage);Pliage en « tube » : gros point fort en hôtel/appart.;5,0;Pliable : rangement simple.;4,0;Collapsible (selon versions), mais reste volumineux.;4,0;;;;;Repliable annoncé : bon pour stocker.;4,5;https://buds-sports.com/products/housse-transport-velo-rembourree-rollbag-pro | https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Tolérance « contrôle sécurité »;Bonne si l’intérieur est bien sanglé/calé (soft bag).;4,0;Bonne (structure interne), mais dépend du repacking.;4,0;Très bonne (organisation + stand).;4,5;;;;;Très bonne (panneaux + points de fixation).;5,0;https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Organisation / poches accessoires;Accessoires et protections incluses (selon pack), organisation efficace.;4,0;Poches/compartiments utiles, expérience voyage éprouvée.;4,0;Compartiments + pièces dédiées : très bon.;4,5;;;;;Composants d’emballage adaptés : bon.;4,0;https://evocsports.ca/products/bike-travel-bag-pro-1 | https://www.thule.com/fr-fr/bike-packs-bags-and-racks/bike-travel-cases/thule-roundtrip-road-bike-case-_-3205178
Sécurité (zip / cadenas);Zip robuste, cadenas possible (selon configuration).;4,0;Zips et options TSA/Travel Sentry selon versions.;4,0;Zip verrouillable annoncé sur certaines fiches.;4,0;;;;;Zip/cadenas possible, construction rigide aide.;4,0;https://sciconsports.com/en-eu/products/aerocomfort-3-0-road-bike-travel-bag-tp053105013 | https://evocsports.ca/products/bike-travel-bag-pro-1
Rapport valeur / usage;Excellent si vous voulez une housse unique route+VTT et limiter le surpoids.;4,5;Très bon pour voyageurs route/gravel fréquents.;4,0;Très bon si priorité protection premium.;4,0;;;;;Bon si vous acceptez le poids pour la protection/structure.;3,5;https://cyclingweekly.com/group-tests/best-bike-bags-and-boxes-a-buyers-guide-323679 | https://cyclingnews.com/features/best-bike-bags-boxes-and-cases
MOYENNE;;4,38;;4,00;;4,42;;#DIV/0!;;#DIV/0!;;4,08;
